DR2Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,prob0,probs_final
Gaia DR2 5289883417716710272,0.002007,-0.891051,119.52093366397,-61.64435722574,2.5994,0.2313,-5.969,0.546,12.391,0.429,11.839674717775605,0.0019029819396997778,0.9551822382834789,0.0039694367639746325,1.0,1.0
Gaia DR2 5289884036191998976,-0.027417,-0.899203,119.45896826655,-61.65249673122,2.4311,0.0914,-5.162,0.213,11.601,0.171,17.21526323287838,0.003592554571779606,1.7262226673190817,0.29283870237368703,1.0,1.0
Gaia DR2 5289885268845273472,0.114382,-0.825959,119.75702473841,-61.57905515633,2.5674,0.067,-4.947,0.152,11.652,0.131,17.007679306281368,0.0025521546432668313,2.2289690652779672,0.0393603572883339,1.0,1.0
Gaia DR2 5289885616739974016,0.10711,-0.791101,119.74149451558,-61.54422365518,2.3299,0.0579,-4.373,0.135,11.622,0.117,16.914923231206174,0.0022265542272425993,2.288827931999842,0.011467669411857255,1.0,1.0
Gaia DR2 5289886093478644992,0.032139,-0.811609,119.58420182068,-61.56489857658,2.4418,0.1245,-4.313,0.372,11.346,0.271,18.270197158304104,0.002356249134984254,2.692714267868027,0.043044022038793726,1.0,1.0
Gaia DR2 5289886166495716992,0.030513,-0.794007,119.58074998205,-61.54729832679,2.4168,0.0447,-3.582,0.1,10.446,0.091,16.452238025859486,0.0019164127275362048,2.0023474016825737,0.0071874492667653314,1.0,1.0
Gaia DR2 5289886407013890688,0.103855,-0.766967,119.73449588163,-61.52010052848,2.431,0.0595,-4.273,0.148,10.903,0.132,16.79743266795446,0.002070461438562959,2.162680540765791,0.012012063830347471,1.0,1.0
Gaia DR2 5289886716251534336,0.073733,-0.751728,119.67125215088,-61.50494717048,2.3645,0.0134,-4.138,0.028,11.556,0.025,13.255210816574195,0.0019047800804477147,1.0540838533334291,0.003820641837328101,1.0,1.0
Gaia DR2 5289888262439659136,-0.127889,-0.803223,119.2482070657,-61.55626726624,2.3891,0.0121,-4.798,0.025,11.613,0.024,13.557977998876646,0.0018588608498504363,1.0607958593499163,0.0033156901902275096,1.0,1.0
Gaia DR2 5289888228079920640,-0.138799,-0.813465,119.22520690444,-61.56646215116,2.4956,0.04,-4.44,0.089,11.361,0.087,16.441561487502362,0.0020639254586415153,2.3476194173088025,0.006396184437782798,1.0,1.0
Gaia DR2 5289888399878613376,-0.094231,-0.774205,119.31905542724,-61.52736901158,2.433,0.0248,-4.407,0.053,11.666,0.052,15.52594544575674,0.002441515669380016,1.6171962927134658,0.007890986703392697,1.0,1.0
Gaia DR2 5289889946066884480,0.060273,-0.698946,119.64282668759,-61.45219360405,2.4916,0.0387,-5.183,0.082,11.089,0.08,16.17374772863983,0.0019747654346754947,1.9289063643539386,0.006791216335617634,1.0,1.0
Gaia DR2 5289890495822656640,-0.008287,-0.698615,119.4993678535,-61.45191965058,2.3928,0.0189,-4.393,0.04,11.401,0.037,12.709772463837762,0.001853169211133883,0.922879388859517,0.0028133156048084666,1.0,1.0
Gaia DR2 5289890908139518592,0.013858,-0.675501,119.54568317511,-61.42880357986,2.5582,0.073,-3.941,0.159,10.857,0.145,17.421104922906476,0.002080293911743662,2.6899467917585085,0.022352891614344773,1.0,1.0
Gaia DR2 5289891114297950336,0.030239,-0.644516,119.5798717237,-61.39780746302,2.411,0.0266,-5.722,0.055,11.859,0.057,15.616666929015214,0.002027744434740328,1.696004122886551,0.005334857967616797,1.0,1.0
Gaia DR2 5289891423535761920,0.165323,-0.763498,119.86335546049,-61.51636613213,2.3379,0.0281,-4.833,0.065,10.936,0.058,15.70529457410335,0.0018866735934129151,1.691219725418362,0.003990474139915804,1.0,1.0
Gaia DR2 5289892518749821568,0.149364,-0.713575,119.82939150243,-61.46652424518,2.3257,0.1206,-5.011,0.269,11.989,0.265,18.114636136901222,0.0022598942895974534,2.583988560124258,0.04052484682162286,1.0,1.0
Gaia DR2 5289892935364187520,0.167363,-0.68069,119.86670251153,-61.43354868917,2.2657,0.1358,-4.816,0.306,11.845,0.333,18.295843147258566,0.0022218135996419273,2.6263756735595116,0.040270027255853276,1.0,1.0
Gaia DR2 5289893004083666304,0.203911,-0.676077,119.9430677502,-61.42871918745,2.4056,0.1562,-4.934,0.313,10.324,0.381,10.63377355641419,0.003058173321459146,0.34936062815246594,0.004772611655913135,1.0,1.0
Gaia DR2 5289893828717390720,0.261464,-0.641582,120.0627982889,-61.39379881121,2.1944,0.079,-4.398,0.154,11.958,0.174,15.727655633120566,0.002184988955535375,2.023784511854938,0.005879948689070333,1.0,1.0
Gaia DR2 5289894515912156544,0.222408,-0.651346,119.98137591875,-61.40386327696,2.4646,0.1306,-5.212,0.251,11.053,0.276,15.340907464918413,0.0020598738067091568,1.769276770812013,0.004668679166340279,1.0,1.0
Gaia DR2 5289895065667973760,0.264707,-0.601756,120.06887048164,-61.35394739685,2.6755,0.0142,-5.088,0.027,11.847,0.029,14.153821862570497,0.0018398248485988844,1.25822520929251,0.002962480020828456,1.0,1.0
Gaia DR2 5289895477984777728,0.281611,-0.549477,120.10315075088,-61.30152313143,2.4656,0.0534,-4.926,0.109,11.041,0.106,16.58159583276924,0.0019697828737782978,2.035775896367472,0.0077434269239855915,1.0,1.0
Gaia DR2 5289896057802949120,0.09604,-0.646578,119.71733136905,-61.39973656174,2.4296,0.0969,-4.088,0.199,11.416,0.187,17.773583589797322,0.002216087015013522,2.525572384989676,0.019999883498824398,1.0,1.0
Gaia DR2 5289897642648246784,0.13768,-0.566372,119.8035799713,-61.31937700971,2.3319,0.0746,-4.543,0.148,11.113,0.142,17.27524174789028,0.002436705547774858,2.3486677029071714,0.016045788850676656,1.0,1.0
Gaia DR2 5289897642648246272,0.132084,-0.568487,119.79193997858,-61.32151611628,2.5783,0.0738,-4.743,0.146,11.064,0.142,17.26912523940603,0.0020149067864957413,2.2592088874871656,0.014920082186042839,1.0,1.0
Gaia DR2 5289898020605414016,0.224343,-0.567738,119.98416898329,-61.32024360559,2.362,0.0226,-4.713,0.046,11.733,0.047,12.634864405394154,0.001863941630737245,0.8862584099002557,0.0028381320706994525,1.0,1.0
Gaia DR2 5289898329843059584,0.232895,-0.577589,120.00214057783,-61.33003258725,2.3619,0.0186,-5.433,0.036,10.75,0.043,12.906050059789802,0.0018918478447613207,1.0748499591896703,0.003322414231928534,1.0,1.0
Gaia DR2 5289899459417128064,0.223835,-0.505642,119.98218927856,-61.25815343439,2.2318,0.0754,-4.38,0.146,11.395,0.159,17.20187689497923,0.002061256391681283,2.641698985156623,0.01416881616985447,1.0,1.0
Gaia DR2 5289899910390965248,0.211541,-0.458997,119.95597356878,-61.21159400289,2.3841,0.0241,-3.71,0.044,11.078,0.048,14.389289336477313,0.001831187657391562,1.499807843381646,0.0037709215277159673,1.0,1.0
Gaia DR2 5289901280484802176,0.601007,-1.100718,120.79054416187,-61.84817418733,2.7111,0.091,-5.833,0.186,12.977,0.206,17.474562970964897,0.0021129851313838955,2.965329072529805,0.025479957038532768,1.0,1.0
Gaia DR2 5289901490940760576,0.596057,-1.0872,120.77950156848,-61.83475414124,2.379,0.057,-4.246,0.127,11.118,0.127,16.762947836193373,0.0020740507697754986,2.1047266254014723,0.011523009305583495,1.0,1.0
Gaia DR2 5289904720756117888,0.540111,-1.052141,120.65969888119,-61.80072981182,2.4282,0.1602,-4.364,0.341,11.093,0.445,18.38213128344077,0.0024229200533621505,2.779969544042693,0.04948195586705535,1.0,1.0
Gaia DR2 5289906988498858240,0.66461,-0.95486,120.9186691554,-61.70104927407,2.355,0.0956,-4.369,0.215,11.093,0.199,17.427173680566284,0.0020852941002187544,2.6145758520480555,0.017378052949889772,1.0,1.0
Gaia DR2 5289907675693554688,0.633817,-0.94721,120.85339946721,-61.69404461707,2.435,0.0334,-5.007,0.069,10.517,0.07,15.703201343684805,0.001906599125194586,1.6809940383421882,0.00550060120320827,1.0,1.0
Gaia DR2 5289907843192345472,0.656611,-0.921598,120.90031377548,-61.66796550355,2.4244,0.0157,-5.34,0.031,11.329,0.032,14.119012728834775,0.0018514999687983817,1.1799359161260874,0.0035352526285108263,1.0,1.0
Gaia DR2 5289908534686932992,0.669222,-0.8638,120.92425313966,-61.60991300919,2.2871,0.1231,-4.694,0.281,10.74,0.288,17.99135204225288,0.002494023119736116,2.5510080302229774,0.03142038054333638,1.0,1.0
